cui,name,original_name
C1512230,Glycolysis/Gluconeogenesis Pathway,KEGG_GLYCOLYSIS_GLUCONEOGENESIS
C1516586,Citrate Cycle (TCA Cycle) Pathway,KEGG_CITRATE_CYCLE_TCA_CYCLE
C0030892,Pentose Phosphate Pathway,KEGG_PENTOSE_PHOSPHATE_PATHWAY
C1518959,Pentose and Glucuronate Interconversions Pathway,KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
C1517322,Fructose and Mannose Metabolism Pathway,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM
C1156458,Galactose Metabolism Pathway,KEGG_GALACTOSE_METABOLISM
C1510949,Ascorbate and Aldarate Metabolism Pathway,KEGG_ASCORBATE_AND_ALDARATE_METABOLISM
C0596563,fatty acid metabolism,KEGG_FATTY_ACID_METABOLISM
C2981164,Steroid Hormone Biosynthesis Pathway,KEGG_STEROID_BIOSYNTHESIS
C2981164,Steroid Hormone Biosynthesis Pathway,KEGG_STEROID_HORMONE_BIOSYNTHESIS
C0030013,Oxidative Phosphorylation,KEGG_OXIDATIVE_PHOSPHORYLATION
C0920640,Purine Metabolism Pathway,KEGG_PURINE_METABOLISM
C0920641,pyrimidine metabolism,KEGG_PYRIMIDINE_METABOLISM
C2984226,"Alanine, Aspartate and Glutamate Metabolism Pathway",KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM
C1512222,"Glycine, Serine and Threonine Metabolism Pathway",KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM
C2984227,Cysteine and Methionine Metabolism Pathway,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM
C1519946,"Valine, Leucine and Isoleucine Degradation Pathway",KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
C1519945,"Valine, Leucine and Isoleucine Biosynthesis Pathway",KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS
C1518091,Lysine Degradation Pathway,KEGG_LYSINE_DEGRADATION
C1510938,Arginine and Proline Metabolism Pathway,KEGG_ARGININE_AND_PROLINE_METABOLISM
C1156823,Histidine Metabolism Pathway,KEGG_HISTIDINE_METABOLISM
C1156790,tyrosine metabolism,KEGG_TYROSINE_METABOLISM
C1327004,Phenylalanine Metabolism Pathway,KEGG_PHENYLALANINE_METABOLISM
C1156787,Tryptophan Metabolism Pathway,KEGG_TRYPTOPHAN_METABOLISM
C1156837,Beta-Alanine Metabolism Pathway,KEGG_BETA_ALANINE_METABOLISM
C1515220,Taurine and Hypotaurine Metabolism Pathway,KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM
C1519230,Selenoamino Acid Metabolism Pathway,KEGG_SELENOAMINO_ACID_METABOLISM
C1158188,glutathione metabolism,KEGG_GLUTATHIONE_METABOLISM
C1514954,Starch and Sucrose Metabolism Pathway,KEGG_STARCH_AND_SUCROSE_METABOLISM
C0596625,N-Glycan Biosynthesis Pathway,KEGG_N_GLYCAN_BIOSYNTHESIS
C1518516,O-Glycan Biosynthesis Pathway,KEGG_O_GLYCAN_BIOSYNTHESIS
C1512234,Glycosaminoglycan Degradation Pathway,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
C1516498,Glycosaminoglycan Biosynthesis Pathway - Chondroitin Sulfate,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE
